"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","part","response","stimulus","correct","choices","correct_choice","trial_duration","response_ends_trial","number_of_apertures","number_of_dots","number_of_sets","coherent_direction","coherence","opposite_coherence","dot_radius","dot_side_length","dot_life","move_distance","aperture_width","aperture_height","dot_color_beforeOne","dot_color_beforeTwo","dot_color_after","dot_color_delay","move_delay","dot_shape","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames","aperture_center_x","aperture_center_y","fixation_cross","fixation_cross_width","fixation_cross_height","fixation_cross_color","fixation_cross_thickness","border","border_thickness","border_color","canvas_width","canvas_height","task","correct_responce","match","association","difficulty"
"true","false","[]","[]","[]","preload","0","17","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","2068161","0.0-1.0","2066131","fullScreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey","2","2087359","0.0-2.0","18128","survey","{""sex"":""女"",""age"":22,""hands"":""右"",""color_blindness"":""都不是""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","3","2098170","0.0-3.0","9807","color_test","{""Q0"":""be""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","2106739","0.0-4.0","7566","instruction_beginning"," ","
      <div style=""text-align: left; color: white"">
        <h3 style=""text-align: center; font-size: 30px; margin: 0;"">欢迎参与本实验</h3>
          <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》，</p>
          <p>如果您未见过上述内容，请咨询实验员 ，</p>
          <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意 。</p>
          <p>在整个实验中，您需要完成两项任务，具体的任务要求会在后面说明 ，</p>
          <p>请按空格键进入实验</p >
      </div>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","2137634","0.0-5.0-1.0-0.0-0.0","29883","instruction_match"," ","
        <div style=""text-align: left; color: white; padding: 10px""> 
          <h3 style=""text-align: center; font-size: 30px; margin: 10px"">任务一：匹配判断</h3>
          <p>接下来，屏幕上会呈现一些运动的圆点，其中一半为 <span style=""color: hsl(0, 50%, 50%)"">红色</span> ，一半为 <span style=""color: hsl(225, 50%, 50%)"">蓝色</span> 。</p>
          <p>同时散点图的下方会出现 ""自己"" 或 ""生人"" 的文字标签。</p >
          <p><span style=""font-weight: bold"">大约0.2秒后,</span>  一部分点会随机变为另一种颜色（例如从红色变为蓝色），变化后某种颜色的数量会超过另一种。</p >
          <p>如果整体颜色为 <span style=""color: hsl(0, 50%, 50%)"">红色</span> 代表 <span style=""color: hsl(0, 50%, 50%)"">你自己</span> ，整体颜色为 <span style=""color: hsl(225, 50%, 50%)"">蓝色</span> 代表 <span style=""color: hsl(225, 50%, 50%)"">生人（即陌生人）</span>。</p >
          <p>您需要在3秒内判断 <span style=""font-weight: bold"">散点图的整体颜色与文字是否匹配</span> 。</p >
          <ul>
            <li><span style=""color: hsl(135, 50%, 50%)"">匹配</span>，请按键盘 <span style=""color: hsl(135, 50%, 50%)"">""F"" 键</span>；</li>
            <li><span style=""color: red"">不匹配</span>，请按键盘 <span style=""color: red"">""J"" 键</span> </li>
          </ul>
          <p>按下空格键后将呈现示例</p>
        </div>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","rdk","6","2150945","0.0-5.0-1.0-0.0-1.0","12290","example"," ","","true","["" ""]","["" ""]","300000","true","4","[80,20,80,20]","1","0","0","0","5","1","-1","3","400","400","hsl(225, 50%, 50%)","hsl(0, 50%, 50%)","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)"",""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]","10","10","circle","black","3","1","2","16.793758480325643","[8,17,16,17,16,17,17,17,17,17,17,16,16,17,17,17,16,17,17,17,17,17,16,16,17,17,17,17,17,17,17,18,16,16,17,17,16,17,17,16,17,17,17,17,17,17,17,15,17,17,17,16,17,17,17,17,16,17,17,17,17,17,17,17,16,17,17,17,17,17,17,17,16,16,17,17,17,17,16,17,17,17,16,17,17,16,17,17,17,17,17,17,17,16,17,16,16,17,17,17,17,16,17,17,17,17,16,17,17,17,17,16,17,16,17,17,17,17,17,17,16,17,17,17,17,17,16,17,17,16,17,17,17,17,16,17,17,16,17,17,17,17,17,16,17,17,16,17,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,16,17,17,16,17,17,17,17,17,16,17,17,15,17,17,17,17,18,15,17,17,17,17,17,16,17,17,16,17,17,17,17,17,17,17,17,16,16,17,17,16,17,17,17,17,17,17,16,17,16,17,17,16,17,16,17,17,17,17,17,17,17,16,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,17,17,18,16,17,16,17,17,16,17,17,17,16,17,17,17,17,16,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,16,17,16,17,17,17,17,17,17,16,17,17,17,17,17,17,17,17,16,17,16,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,17,17,17,16,17,17,16,16,17,17,17,16,17,16,17,17,16,17,17,16,17,17,17,17,17,17,17,17,16,17,17,17,17,16,17,17,17,17,17,17,17,16,16,17,17,18,17,17,17,16,17,17,17,17,16,17,17,17,17,17,16,16,17,16,17,16,17,17,17,16,17,17,17,17,16,16,17,17,17,17,17,17,16,17,17,16,17,17,17,17,17,17,17,16,17,17,17,17,16,17,17,17,17,16,17,17,17,17,17,16,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,16,17,16,17,17,17,16,17,16,17,17,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,18,16,17,16,17,17,16,17,17,17,17,16,17,17,17,16,17,17,16,17,17,16,17,17,17,17,17,16,17,17,17,16,17,17,17,16,17,17,17,17,17,17,16,17,17,17,17,16,17,16,17,17,17,17,17,17,17,17,17,16,17,16,17,17,16,17,17,17,17,17,17,17,16,17,17,16,17,17,17,16,16,17,17,16,17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,16,17,17,17,17,17,17,17,15,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,16,16,17,17,17,17,17,17,17,16,17,17,17,17,17,17,16,17,16,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,16,16,17,17,17,17,17,17,17,16,17,17,17,17,17,17,17,16,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,16,17,17,17,17,16,17,17,17,16,17,17,17,17,17,17,17,16,17,16,17,17,17,17,17,17,18,16,17,16,17,17,16,17,17,16,17,17]","737","[300,300,900,900]","[280,280,280,280]","false","20","20","black","1","false","1","1","1200","660","","","","",""
"","","","","","html-keyboard-response","7","2159010","0.0-5.0-1.0-0.0-2.0-0.0-0.0-0.0","7557","instruction_match_practice"," ","
        <div style=""text-align: left; color: white; padding: 10px"">  
          <h3 style=""text-align: center; font-size: 30px; margin: 10px;"">练习阶段</h3>
          <p>整体颜色为 <span style=""color: hsl(0, 50%, 50%)"">红色</span> 代表 <span style=""color: hsl(0, 50%, 50%)"">你自己</span> ，为 <span style=""color: hsl(225, 50%, 50%)"">蓝色</span> 代表 <span style=""color: hsl(225, 50%, 50%)"">生人（即陌生人）</span>。</p >
          <p>您需要在3秒内判断 <span style=""font-weight: bold"">散点图的整体颜色与文字是否匹配</span>，<span style=""color: hsl(135, 50%, 50%);"">匹配</span> 按 <span style=""color: hsl(135, 50%, 50%);"">""F"" 键</span>；<span style=""color: red;"">不匹配</span> 按 <span style=""color: red;"">""J"" 键</span> </p >
          <p>正确率达到 70% 及以上才能进入下一个阶段</p >
          <p>请把左手食指放在 ""F"" 键上，右手食指放在 ""J"" 键上</p >
          <p>请按下空格键开始练习</p >
        </div>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","2160518","0.0-5.0-1.0-0.0-2.0-0.0-0.0-1.0-0.0","null","fixation","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","rdk","9","2163426","0.0-5.0-1.0-0.0-2.0-0.0-0.0-1.0-1.0","1889","match_RDK","f","","true","[""f"",""j""]","[""f""]","3000","true","2","[80,20]","1","0","0","0","5","1","-1","3","500","500","hsl(225, 50%, 50%)","hsl(0, 50%, 50%)","[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]","10","6","circle","black","3","2","2","16.8141592920354","[9,17,17,17,17,17,17,17,16,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,16,17,16,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,16,17,17,17,17,17,17,17,16,17,16,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17]","113","600","250","false","20","20","black","1","false","1","1","1200","660","response","f","yes","other",""
